Node	Organization	Cost	Year	Intelligence
GOV-E	1	1.039672243	25	/
GOV-W	1	0.981563674	27	/
GOV-F	1	0.932878115	21	/
EG-LL	2	1.289382042	34	/
EG-AO	2	0.679503812	25	/
EG-FD	2	0.782633436	21	/
EG-EMD	2	0.88628656	24	/
EG-WED	2	0.841265506	20	/
EG-ECD	2	1.101445317	23	/
WWTC-GM	3	1.567884375	32	/
WWTC-DGM	3	1.417639695	25	/
WWTC-ED	3	1.207192443	17	/
WWTC-FD	3	0.787344941	15	/
WWTC-AO	3	0.685262319	8	/
WWTC-AED	3	0.890998065	13	/
WWTC-OML	3	0.997268692	21	/
WWTC-OM-M1	3	0.836554	11	/
WWTC-OM-M2	3	0.836554	6	/
WWTC-PNWL	3	0.997268692	18	/
WWTC-PNIMTL	3	1.150654376	24	/
WWTC-PNIMT1	3	0.941254125	18	/
WWTC-PNIMT2	3	0.941254125	24	/
WWTC-PNIMT3	3	0.941254125	20	/
WWTC-PNOMDTL	3	1.045954251	17	/
WWTC-PNOMDTM1	3	0.836554	9	/
WWTC-PNOMDTM2	3	0.836554	4	/
WWTC-PNWQTTM1	3	0.888904063	14	/
WWTC-PNWQTTM2	3	0.888904063	8	/
WWTP-GM	4	1.567884375	29	/
WWTP-DGM-P	4	1.463184249	21	/
WWTP-DGM-S	4	1.463184249	23	/
WWTP-OT-L	4	1.150654376	20	/
WWTP-OT-M1	4	0.941254125	16	/
WWTP-OT-M2	4	0.941254125	11	/
WWTP-OT-M3	4	0.941254125	6	/
WWTP-AT-L	4	0.679503812	16	/
WWTP-AT-M1	4	0.836554	13	/
WWTP-AT-M2	4	0.836554	3	/
WWTP-FT-L	4	1.045954251	21	/
WWTP-FT-M1	4	0.941254125	14	/
WWTP-FT-M2	4	0.941254125	13	/
WWTP-ET-L	4	1.150654376	19	/
WWTP-ET-M1	4	0.941254125	15	/
WWTP-ET-M2	4	0.941254125	11	/
WWTP-WQM1	4	0.993604188	12	/
WWTP-WQM2	4	0.993604188	10	/
SES	5	0	21	/
AES	5	0	13	/
DES	5	0	18	/
EES	5	0	15	/
Residents	6	0	20	/
Media	6	0	20	/
Netizens	6	0	20	/
PN-WLM1-CMBP	3	0.09515235	 / 	0
PN-WLM2-FPA	3	0.11418282	 / 	0
PN-WLM3-R	3	0.127776012	 / 	0
PN-FVM1-CMBP	3	0.190304699	 / 	0
PN-FVM2-PS	3	0.222928362	 / 	0
PN-FVM3-MIP	3	0.255552025	 / 	0
PN-FM1-CMBP	3	0.288175688	 / 	0
PN-FM2-PS	3	0.32079935	 / 	0
PN-FM3-KDH	3	0.353423013	 / 	0
PN-FM4-MIP	3	0.386046676	 / 	0
PN-WQT1-KDH	3	0.418670339	 / 	0
PN-WQT2-MIP	3	0.451294001	 / 	0
PN-WQT3-CMBP	3	0.483917664	 / 	0
PN-VS1-FPA	3	0.516541327	 / 	0
PN-VS2-MIP	3	0.54916499	 / 	0
WWTP-WQT1-IPH	4	0.581788652	 / 	0
WWTP-WQT2-BR	4	0.614412315	 / 	0
WWTP-WQT3-OPH	4	0.647035978	 / 	0
WWTP-WLM1-IPH	4	0.157681037	 / 	0
WWTP-WLM2-RPH	4	0.176711507	 / 	0
WWTP-WLM3-CAR	4	0.190304699	 / 	0
WWTP-TM1-HST	4	0.222928362	 / 	0
WWTP-TM2-UVC	4	0.255552025	 / 	0
WWTP-SLM-SST	4	0.288175688	 / 	0
WWTP-FM1-IPH	4	0.32079935	 / 	0
WWTP-FM2-BR	4	0.353423013	 / 	0
WWTP-FM3-DF	4	0.386046676	 / 	0
WWTP-FM4-CAR	4	0.418670339	 / 	0
WWTP-FM5-OPH	4	0.451294001	 / 	0
WWTP-WTM-OPH	4	0.483917664	 / 	0
WWTP-AFM-BR	4	0.516541327	 / 	0
WWTP-MS	4	0.54916499	 / 	0
WQA1-NW	3	0.581788652	 / 	1
WQA2-IW	4	0.614412315	 / 	1
WQA3-OW	4	0.647035978	 / 	1
WWTP-SCADA	4	0.951523497	 / 	1
PN-SCADA	3	1.016770822	 / 	1
WWTC-CCP	3	1.076580871	 / 	1
WWTP-DS	4	1.136390919	 / 	1
PN-DS	3	1.196200967	 / 	1
WWTP-CC	4	1.256011016	 / 	0
PN-CC	3	1.315821064	 / 	0
WWTP-P1-IPH	4	1.375631113	 / 	0
WWTP-P2-DF	4	1.435441161	 / 	0
WWTP-P3-AST	4	1.495251209	 / 	0
WWTP-P4-OPH	4	1.555061258	 / 	0
WWTP-SP1-RPH	4	1.614871306	 / 	0
WWTP-SP2-HST	4	1.674681354	 / 	0
WWTP-CAP-CAR	4	1.734491403	 / 	0
WWTP-CUP-CAR	4	1.794301451	 / 	0
WWTP-ORD1-BR	4	1.854111499	 / 	0
WWTP-ORD2-SRR	4	1.913921548	 / 	0
WWTP-DC1-IPH	4	1.973731596	 / 	0
WWTP-DC2-AST	4	2.033541645	 / 	0
WWTP-BR-BR	4	2.093351693	 / 	0
WWTP-SOS-AST	4	2.153161741	 / 	0
WWTP-M1-BR	4	2.21297179	 / 	0
WWTP-M2-HST	4	2.272781838	 / 	0
WWTP-M3-CAR	4	0.951523497	 / 	0
WWTP-AC-DF	4	1.468064824	 / 	0
WWTP-SWS-AST	4	1.169014582	 / 	0
WWTP-CV-IPH	4	0.641598701	 / 	0
WWTP-PR-BR	4	0.86996434	 / 	0
WWTP-MS1-SST	4	1.087455425	 / 	0
WWTP-MS2-HST	4	1.141828196	 / 	0
WWTP-PRESS-AST	4	1.250573739	 / 	0
WWTP-CCMP-CAR	4	0.815591569	 / 	0
WWTP-UVD-UVC	4	1.685555909	 / 	0
WWTP-SDE	4	2.011792536	 / 	0
WWTP-SDRY	4	2.17491085	 / 	0
PN-P1-MP	3	2.718638562	 / 	0
PN-P2-LLA	3	2.555520249	 / 	0
PN-P3-HDPA	3	2.881756876	 / 	0
PN-EV1-PI	3	0.679659641	 / 	0
PN-EV2-PS	3	0.761218797	 / 	0
PN-EV3-BIP	3	0.842777954	 / 	0
PN-EV4-KDHP	3	0.924337111	 / 	0
