Name	Node
Government Environmental Department 	GOV-E
Government Water Department 	GOV-W
Government Finance Department 	GOV-F
Environmental Group Leadership 	EG-LL
Environmental Group Administrative Office 	EG-AO
Environmental Group Finance Department 	EG-FD
Environmental Group Enterprise Management Department 	EG-EMD
Environmental Group Water Environment Department 	EG-WED
Environmental Group Engineering Construction Department 	EG-ECD
Wastewater Treatment Company General Manager 	WWTC-GM
Wastewater Treatment Company Deputy General Manager 	WWTC-DGM
Wastewater Treatment Company Equipment Department 	WWTC-ED
Wastewater Treatment Company Finance Department 	WWTC-FD
Wastewater Treatment Company Administrative Office 	WWTC-AO
Wastewater Treatment Company Atmospheric Environment Department 	WWTC-AED
Wastewater Treatment Company Operation Maintenance Leader 	WWTC-OML
Wastewater Treatment Company Operation Maintenance Member 1 	WWTC-OM-M1
Wastewater Treatment Company Operation Maintenance Member 2 	WWTC-OM-M2
Wastewater Treatment CompanyPipeline Network Work Leader 	WWTC-PNWL
Wastewater Treatment CompanyPipeline Network Inspection and Maintenance Team Leader 	WWTC-PNIMTL
Wastewater Treatment CompanyPipeline Network Inspection and Maintenance Team 1 	WWTC-PNIMT1
Wastewater Treatment CompanyPipeline Network Inspection and Maintenance Team 2 	WWTC-PNIMT2
Wastewater Treatment CompanyPipeline Network Inspection and Maintenance Team 3 	WWTC-PNIMT3
Wastewater Treatment CompanyPipeline Network Operation Maintenance Dispatch Team Leader 	WWTC-PNOMDTL
Wastewater Treatment CompanyPipeline Network Operation Maintenance Dispatch Team Member 1 	WWTC-PNOMDTM1
Wastewater Treatment CompanyPipeline Network Operation Maintenance Dispatch Team Member 2 	WWTC-PNOMDTM2
Wastewater Treatment CompanyPipeline Network Water Quality Testing Team Member 1 	WWTC-PNWQTTM1
Wastewater Treatment CompanyPipeline Network Water Quality Testing Team Member 2 	WWTC-PNWQTTM2
Wastewater Treatment Plant General Manager 	WWTP-GM
Wastewater Treatment Plant Deputy General Manager (Production) 	WWTP-DGM-P
Wastewater Treatment Plant Deputy General Manager (Safety) 	WWTP-DGM-S
Wastewater Treatment Plant Operation Team Leader 	WWTP-OT-L
Wastewater Treatment Plant Operation Team Member 1 	WWTP-OT-M1
Wastewater Treatment Plant Operation Team Member 2 	WWTP-OT-M2
Wastewater Treatment Plant Operation Team Member 3 	WWTP-OT-M3
Wastewater Treatment Plant Administrative Team Leader 	WWTP-AT-L
Wastewater Treatment Plant Administrative Team Member 1 	WWTP-AT-M1
Wastewater Treatment Plant Administrative Team Member 2 	WWTP-AT-M2
Wastewater Treatment Plant Finance Team Leader 	WWTP-FT-L
