Name	Node
Government Environmental Department	GOV-E
Government Water Department	GOV-W
Government Finance Department	GOV-F
Water Company Leadership	WC-L
Water Company Administrative Office	WC-AO
Water Company Human Resources	WC-HR
Sewage Company General Manager	SC-GM
Sewage Company Deputy General Manager	SC-DGM
Sewage Company Administrative Office	SC-AO
Sewage Company Process Technology Department	SC-PTD
Sewage Company Operation Management Department	SC-OMD
Sewage Company Facilities and Equipment Department	SC-FED
Sewage Company Safety Assurance Department	SC-SAD
Wastewater Treatment Plant General Manager	WWTP-GM
Wastewater Treatment Plant Deputy General Manager (Production)	WWTP-DGM-P
Wastewater Treatment Plant Deputy General Manager (Safety)	WWTP-DGM-S
Wastewater Treatment Plant Administrative Team Leader	WWTP-AT-L
Wastewater Treatment Plant Administrative Team Member 1	WWTP-AT-M1
Wastewater Treatment Plant Administrative Team Member 2	WWTP-AT-M2
Wastewater Treatment Plant Operation Team Leader	WWTP-OT-L
Wastewater Treatment Plant Operation Team Member 1	WWTP-OT-M1
Wastewater Treatment Plant Operation Team Member 2	WWTP-OT-M2
Wastewater Treatment Plant Operation Team Member 3	WWTP-OT-M3
Wastewater Treatment Plant Water Quality Testing Team Member 1	WWTP-WQT-M1
Wastewater Treatment Plant Water Quality Testing Team Member 2	WWTP-WQT-M2
Wastewater Treatment Plant Maintenance Team Member 1	WWTP-MT-M1
Wastewater Treatment Plant Maintenance Team Member 2	WWTP-MT-M2
Wastewater Treatment Plant Maintenance Team Member 3	WWTP-MT-M3
Wastewater Treatment Plant Canteen Manager	WWTP-CM
Wastewater Treatment Plant Environmental Manager	WWTP-EM
Wastewater Treatment Plant Security Manager	WWTP-SM
Pipeline Network Company General Manager	PNC-GM
Pipeline Network Company Administrative Team Leader	PNC-AT-L
Pipeline Network Company Administrative Team Member 1 (Documentation)	PNC-AT-M1
Pipeline Network Company Administrative Team Member 2 (Operations)	PNC-AT-M2
Pipeline Network Company Administrative Team Member 3 (Maintenance)	PNC-AT-M3
Pipeline Network Company Inspection Work Leader	PNC-IT-L
Pipeline Network Company Inspection Team 1	PNC-IT-M1
Pipeline Network Company Inspection Team 2	PNC-IT-M2
Pipeline Network Company Inspection Team 3	PNC-IT-M3
Pipeline Network Company Operations Team Leader	PNC-OT-L
Pipeline Network Company Operations Team Member 1	PNC-OT-M1
Pipeline Network Company Operations Team Member 2	PNC-OT-M2
Pipeline Network Company Operations Team Member 3	PNC-OT-M3
Sludge Disposal Company General Manager	SDC-GM
Sludge Disposal Company Deputy General Manager (Project Coordination)	SDC-DGM
Sludge Disposal Company Administrative Staff	SDC-AS
